Gene name	Gene name
LOX	APAF1
LOX	COL1A1
LOX	COL1A2
LOX	COL3A1
LOX	MRE11
LOX	FN1
LOX	EFEMP2
LOX	-
LOX	HSPA1A
LOX	HSPA1B
LOX	HSPA8
LOX	MMP2
LOX	MMP10
LOX	UXT
LOX	RAF1
LOX	PTPRK
LOX	SH3KBP1
LOX	ELN
LOX	TUBA3C
LOX	unknown
LOX	LOXL2
LOX	EGF
LOX	-
LOX	-
LOX	-
LOX	-
LOX	ANTXR1
LOX	LTBP1
LOX	FN1
LOX	FMOD
LOX	DPT
LOX	COL6A1
LOX	COL1A1, COL1A1, COL1A2
LOX	TGM2
LOX	unknown
LOX	PLG
SDC1	ITGA3
SDC1	ITGA4
SDC1	ITGAV, ITGB3
SDC1	ITGB1
SDC1	ITGB4
SDC1	ITGB5
SDC1	ADAM17
SDC1	ADAMTS4
SDC1	AHNAK
SDC1	AMPD2
SDC1	APOE
SDC1	ARVCF
SDC1	BSG
SDC1	-
SDC1	CASK
SDC1	CCL11
SDC1	CCL17
SDC1	CCL2
SDC1	CCL5
SDC1	CCL7
SDC1	CCNY
SDC1	CCTN
SDC1	CD81
SDC1	COL1A1, COL1A2
SDC1	COL3A1
SDC1	COL5A1, COL5A2
SDC1	CSNK1G2
SDC1	CSNK1G3
SDC1	CTH
SDC1	CTNNB1
SDC1	CTSG
SDC1	CXCL1
SDC1	CYHR1
SDC1	DHRS2
SDC1	EEPD1
SDC1	EFR3A
SDC1	ELANE
SDC1	EPHA2
SDC1	ERBB2
SDC1	F2
SDC1	FAM20B
SDC1	FARP1
SDC1	FBXO46
SDC1	FGF2
SDC1	FGF7
SDC1	FGFR1
SDC1	FGFR2
SDC1	FGA,FGB,FGG
SDC1	FLOT1
SDC1	FSCN1
SDC1	FTO
SDC1	FYN
SDC1	GIPC1
SDC1	GMEB1
SDC1	GMEB2
SDC1	GNAZ
SDC1	GNB4
SDC1	gp120
SDC1	-
SDC1	HGF
SDC1	HMGCS1
SDC1	-
SDC1	-
SDC1	HRAS
SDC1	IFNB1
SDC1	IGF1R
SDC1	IL34
SDC1	IL8
SDC1	Inha
SDC1	LACRT
SDC1	LAMA1
SDC1	LAMA2
SDC1	LAMA3
SDC1	MDK
SDC1	MIF
SDC1	MMP14
SDC1	MMP16
SDC1	MMP2
SDC1	MMP3
SDC1	MMP7
SDC1	MMP9
SDC1	MNDA
SDC1	NCAM1
SDC1	NF1
SDC1	Nrp599
SDC1	OCLN
SDC1	Opa
SDC1	ORF2
SDC1	p154varb
SDC1	PARP2
SDC1	PCOLCE
SDC1	PDGFA, PDGFA
SDC1	PECAM1
SDC1	PLG
SDC1	PRDM10
SDC1	PRRC1
SDC1	PTN
SDC1	PTPRG
SDC1	PYHIN1
SDC1	RAB5A
SDC1	RAP2A
SDC1	RFTN1
SDC1	RRAS
SDC1	RSPO1
SDC1	SDC1
SDC1	SDC2
